Latitude,Longitude,Slide_Name,State,Material Involved,Movement Type,Initiation_Year,History_date
9.792432,76.82916,Kanjar View Point,Kerala,Debris,Slide,0,
9.792627,77.067686,Vazhavara,Kerala,Soil,Slide,0,
9.793412,77.064957,Vakappadi,Kerala,Debris,Subsidence,0,
9.794404,77.060807,Vazhavara,Kerala,Debris,Slide,0,
9.794839,77.081397,Naanguthotti,Kerala,Debris,Flow,0,
9.795973,77.104232,Mevarayattu,Kerala,Debris,Subsidence,0,
9.796795,77.067566,Vazhavara,Kerala,Debris,Subsidence,0,
9.796861,76.820806,"Pottamgathode, Kudayathoor",Kerala,Debris,Avalanche,2010,
9.796923,77.192568,Third Camp,Kerala,Debris,Slide,0,
9.797631,77.075655,Vaazhavara,Kerala,Debris,Flow,0,
9.798944,77.108953,Irattayar,Kerala,Debris,Flow,0,
9.799008,77.139263,Valiyathovala - Mannamkudi,Kerala,Debris,Slide,0,
9.799312,77.135392,Thovala,Kerala,Debris,Slide,0,
9.801304,77.137756,Valiyathovala,Kerala,Debris,Slide,0,
9.801902,77.137459,Valiyathovala,Kerala,Debris,Flow,0,
9.8027,76.8477,Moolamattom,Kerala,Debris,Slide,2010,
9.803466,77.120209,Thovalameedu,Kerala,Debris,Flow,0,
9.805075,77.120256,Thovalameedu II,Kerala,Debris,Flow,0,
9.805416,77.079731,Naalumukku III,Kerala,Debris,Flow,0,
9.805846,77.151282,Vattapara,Kerala,Debris,Slide,0,
9.806066,77.123588,Anjumukku,Kerala,Soil,Slide,0,
9.806708,77.08415,Shanthigram,Kerala,Debris,Slide,0,
9.80704,77.068331,Vaazhavara ST colony,Kerala,Debris,Slide,0,
9.807055,77.150241,Vattapara,Kerala,Debris,Slide,0,
9.809431,77.100034,Irattayar North IV,Kerala,Soil,Slide,0,
9.809479,77.131411,Kawanthy,Kerala,Debris,Slide,0,
9.81,76.88,Kulamavu,Kerala,Debris,Slide,2019,
9.810211,77.064195,Nellippara,Kerala,Debris,Flow,0,
9.810385,77.106483,Irattayar North,Kerala,Debris,Slide,0,
9.810415,77.063431,Nellippara II,Kerala,Debris,Flow,0,
9.810482,77.101006,Irattayar North VII,Kerala,Debris,Slide,0,
9.810797,77.099842,Irattayar North VI,Kerala,Debris,Slide,0,
9.810814,77.099897,Irattayar North V,Kerala,Debris,Flow,0,
9.810828,77.106376,Irattayar North II,Kerala,Debris,Slide,0,
9.810926,77.099432,Mangattupadi,Kerala,Debris,Slide,0,
9.810955,77.059324,Nellippara III,Kerala,Debris,Flow,0,
9.811021,77.078098,Naalumukku II,Kerala,Soil,Slide,0,
9.811061,77.131266,Kawanthy,Kerala,Soil,Slide,0,
9.811184,77.09855,Mangattupadi II,Kerala,Debris,Slide,0,
9.811206,77.098031,Irattayar North III,Kerala,Debris,Flow,0,
9.811227,77.111993,Ezhukumel II,Kerala,Debris,Slide,0,
9.8116,76.8508,Karippilangadi,Kerala,Debris,Subsidence,2010,
9.811719,77.076298,Naalumukku,Kerala,Debris,Subsidence,0,
9.811895,77.077038,Naalumukku,Kerala,Debris,Slide,0,
9.81228,77.077614,Naalumukku IV,Kerala,Debris,Slide,0,
9.812449,76.853725,Naadukaani,Kerala,Debris,Slide,0,
9.812467,77.07664,Shanthigram,Kerala,Debris,Slide,0,
9.812482,77.110779,Ezhukumel,Kerala,Debris,Slide,0,
9.812495,76.85358,Naadukaani,Kerala,Debris,Slide,0,
9.813075,76.876351,Kozhipally,Kerala,Debris,Slide,0,
9.813178,77.056494,Nellippara IV,Kerala,Debris,Slide,0,
9.813493,76.875962,Kozhipally II,Kerala,Debris,Flow,0,
9.814796,76.875696,Kozhipally III,Kerala,Debris,Slide,0,
9.816192,76.838889,Myladi,Kerala,Debris,Slide,0,
9.817655,77.079726,Idinjamala,Kerala,Debris,Slide,0,
9.818091,77.127319,Kawanthy,Kerala,Debris,Slide,0,
9.818911,77.129202,Kawanthy,Kerala,Debris,Slide,0,
9.820333,77.082221,Idinjamala,Kerala,Soil,Subsidence,0,
9.820459,77.127344,Kawanthy,Kerala,Debris,Slide,0,
9.820806,76.871099,Kozhipally,Kerala,Debris,Slide,0,
9.822065,77.143594,Chemblam,Kerala,Debris,Flow,0,
9.8222,76.8433,Poochapra,Kerala,Rock,Slide,2007,
9.822208,77.143896,Chemblam,Kerala,Debris,Slide,0,
9.823,76.8397,Kurutikalam,Kerala,Debris,Slide,2010,
9.826742,77.141574,Chemblam,Kerala,Debris,Flow,0,
9.826816,77.141255,Chemblam,Kerala,Debris,Flow,0,
9.828145,76.866473,Thadiyina,Kerala,Debris,Subsidence,0,
9.82866,76.866659,Thadiyina,Kerala,Debris,Slide,0,
9.828943,77.160772,Kallar,Kerala,Debris,Slide,0,
9.829444,76.749722,Kollamkunnu,Kerala,Debris,Slide,0,
9.837212,77.173549,Kunnukuzhi,Kerala,Debris,Slide,0,
9.83811,77.18514,Mathaikkada III,Kerala,Debris,Slide,0,
9.838144,77.18461,Mathaikada I,Kerala,Debris,Flow,0,
9.838783,76.888009,Kallickal,Kerala,Debris,Slide,0,
9.83882,77.153524,Mathaikada II,Kerala,Debris,Flow,0,
9.839776,76.865554,Methottil,Kerala,Debris,Slide,0,
9.839808,76.864707,Methottil,Kerala,Debris,Slide,0,
9.840509,76.929767,Meenmutty,Kerala,Debris,Slide,0,
9.840509,76.929767,Meenmutty,Kerala,Debris,Slide,0,
9.840603,76.885914,Kallickal,Kerala,Debris,Slide,0,
9.840603,76.879387,Uppukkunnu,Kerala,Debris,Slide,0,
9.840678,76.832971,Mattam City,Kerala,Debris,Slide,0,
9.840886,76.879006,Uppukkunnu,Kerala,Debris,Slide,0,
9.841301,77.1688,5 Acre Kanam,Kerala,Debris,Slide,0,
9.841969,76.885748,Kallikkallu,Kerala,Debris,Slide,0,
9.842312,77.160549,Parivathanamedu I I,Kerala,Soil,Slide,0,
9.842521,76.965072,Idukki-Medical college road,Kerala,Debris,Slide,0,
9.842521,76.965072,Idukki-Medical college road,Kerala,Debris,Slide,0,
9.842529,77.160514,Parivathanamedu I II,Kerala,Debris,Slide,0,
9.842744,76.89423,Villumthandu,Kerala,Debris,Slide,0,
9.843841,76.888867,Kallickal,Kerala,Debris,Slide,0,
9.844834,76.943246,Kuyilimala behind the excise office,Kerala,Debris,Slide,0,
9.844834,76.943246,Kuyilimala behind the excise office,Kerala,Debris,Slide,0,
9.846082,76.938568,Kuyilimala,Kerala,Debris,Slide,0,
